,SEG_ID,pointId,Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock,Pedestrian,Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall
0,741803,012142,4,15,4091,1517,279619,11652,0,0,5130,8244,851,0,3451,0,31,12249,503,61947,29,11238,9,265262,15960,0,0,0,154459,2058,0,60198,106118,43941
0,640686,001350,14,90,418,925,58241,12360,5,0,509,6017,1781,0,34507,0,156,33485,121,251691,1865,7513,20,78923,2663,62,6,0,346424,256,0,157542,43205,9777
0,540589,003557,0,0,543,101,227882,15772,2,0,3654,3171,2789,28,6338,0,218,4973,350,223785,697,31066,55,281514,5805,2,2,0,67242,1807,0,33378,87719,49683
0,342192,003976,2,1499,8018,560,32849,51146,21,0,1678,6633,71,0,89032,0,2146,22140,1205,61340,269,16035,1,136909,321,7,1,0,279016,4987,0,231212,77011,24467
0,541706,003572,18,0,9690,434,227641,24656,28,0,4586,2165,455,0,11526,0,2088,8580,1706,72331,2716,28655,8,305625,14614,0,1,0,87415,2742,0,58777,113110,69009
0,421867,000296,0,1,319,161,76131,2917,0,1,3650,5585,727,0,2566,0,2344,12589,580,157538,5720,41612,31,253613,1397,0,1,0,248877,17,0,42659,99778,89762
0,322339,000572,31,812,3606,2596,237088,23131,1,0,2292,1891,5402,0,172692,0,1015,27375,372,108726,654,10821,207,53621,3036,119,25,0,148202,2971,0,128467,100281,13142
0,840139,008556,1,4,841,478,76257,4343,6,28,3094,6543,16,0,7874,0,168,37501,892,157317,4021,57774,5,19182,4806,0,3,0,422519,425,0,139040,74610,30828
0,1080463,004172,0,0,73,1555,97713,1688,0,0,1287,4806,10,0,33409,0,1,638,3,1813,146,172,0,440539,204,0,8,0,313220,3952,0,112772,21360,13207
0,540159,003286,2,238,2707,2416,139152,12709,3,0,2154,9902,168,0,121568,0,837,11384,1243,23064,123,7254,42,147160,8695,119,20,0,185143,13070,0,194368,141311,23724
0,522402,011061,0,0,1595,181,63419,2101,0,0,3030,3530,175,4,12370,0,82,19354,321,73026,9139,2265,0,305933,1833,0,1,0,265661,8990,0,161518,95937,18111
0,420551,000046,16,19,5740,158,326170,51928,64,18,5091,2438,3108,0,26004,0,1678,7354,1008,97218,1219,17004,18,99194,4053,213,6,0,243092,436,0,69051,75936,10342
0,761491,006805,0,207,114,1559,68170,8107,0,0,1680,5142,934,0,62862,0,409,25792,9,31154,371,1033,3,197637,2655,0,22,0,282864,2093,0,241517,110405,3837
0,401621,009350,2,0,3312,1083,230449,10322,12,0,5358,608,2526,0,13128,1,510,10476,1298,150698,60,15441,137,212294,3623,114,21,0,155252,865,0,92227,110849,27910
0,200408,002979,2,0,34,890,125610,15248,0,0,1324,12786,380,1,9467,0,1508,3085,530,28541,1230,3476,8,397633,5475,0,0,0,187878,15769,0,144247,72187,21267
0,640963,003323,0,247,158,2251,18456,15598,0,0,2633,2658,1683,28,87514,0,314,35255,7,120061,578,8467,15,72853,1010,154,45,0,365873,518,0,235704,68610,7886
0,420201,009488,8,2,54,1253,302691,2537,0,0,4957,3312,1939,0,12185,0,144,66923,1,45166,785,3405,274,139956,132,11,11,0,196923,940,0,120035,125750,19182
0,840105,008210,0,1,2944,1166,127435,9068,9,19,1663,10357,260,3,13212,0,820,33625,1197,55876,343,14163,38,216836,2874,5,1,0,246563,1036,0,176656,73113,59293
0,740945,008615,20,0,8818,896,201352,15058,178,0,7287,864,1060,56,3318,0,4250,5364,6128,159458,676,39368,42,226816,4178,3,102,0,144335,327,0,104494,92170,21958
0,401550,009264,3,1,894,301,153378,37287,66,33,3792,4624,554,35,23570,0,2026,18182,836,223498,505,43961,10,186313,6501,27,0,0,206265,336,0,41243,77972,16363
0,641970,001412,4,50,603,1451,337306,35411,1,0,3426,1778,10589,0,43139,0,1067,14195,298,242798,326,31854,88,102431,12692,48,61,0,63177,360,0,73922,58685,12816
0,860527,007907,15,2,2352,1851,148329,12228,1,0,2770,4863,435,0,54991,0,169,35945,98,51407,268,3388,148,167025,4976,325,6,0,221795,2430,0,188398,117268,27093
0,322481,000634,19,35,4081,5689,384118,10951,0,20,730,12466,187,0,35138,0,788,10224,584,15308,163,774,88,169904,11172,170,5,0,124976,1317,0,171707,71896,16066
0,321982,000704,5,198,2606,218,347243,20528,15,3,2431,4538,1323,0,45291,0,706,2716,1028,136871,152,36495,36,92531,1255,53,1,0,134626,610,0,62051,147586,7460
0,621029,007702,1,1,236,5270,32391,17997,0,0,927,8210,507,0,15862,0,33,54164,0,39876,2882,8529,32,223962,12617,0,2,0,333866,602,0,188740,81515,20354
0,620694,007460,0,0,148,631,113663,11089,0,0,3213,3211,2511,0,4423,0,205,32919,91,196761,3413,42165,40,261776,3159,24,8,0,167495,1181,0,67603,83164,49683
0,840406,006374,0,0,691,3467,167933,2815,0,0,2211,3155,168,0,33447,0,3,8885,34,21436,236,139,20,243912,1177,0,13,0,320081,1885,0,162352,59012,15504
0,960612,005851,0,0,2518,750,112876,25104,0,0,3629,344,69,0,18764,0,79,23655,30,48136,660,908,49,287824,17082,0,3,0,284078,2257,0,150012,64067,5682
