NAME,totalPop,whitePop,state,county,tract,block group,whitePercep,nonwhitePercep
"Block Group 5, Census Tract 149, Philadelphia County, Pennsylvania",376,20,42,101,014900,5,0.05319148936170213,0.9468085106382979
"Block Group 3, Census Tract 149, Philadelphia County, Pennsylvania",906,15,42,101,014900,3,0.016556291390728478,0.9834437086092715
"Block Group 7, Census Tract 320, Philadelphia County, Pennsylvania",726,346,42,101,032000,7,0.4765840220385675,0.5234159779614325
"Block Group 1, Census Tract 320, Philadelphia County, Pennsylvania",888,642,42,101,032000,1,0.722972972972973,0.277027027027027
"Block Group 2, Census Tract 320, Philadelphia County, Pennsylvania",913,673,42,101,032000,2,0.7371303395399781,0.2628696604600219
"Block Group 1, Census Tract 342, Philadelphia County, Pennsylvania",1343,1040,42,101,034200,1,0.774385703648548,0.22561429635145203
"Block Group 1, Census Tract 20, Philadelphia County, Pennsylvania",1403,363,42,101,002000,1,0.2587312900926586,0.7412687099073414
"Block Group 2, Census Tract 20, Philadelphia County, Pennsylvania",708,76,42,101,002000,2,0.10734463276836158,0.8926553672316384
"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",2105,1578,42,101,002900,3,0.7496437054631829,0.25035629453681707
"Block Group 2, Census Tract 29, Philadelphia County, Pennsylvania",935,681,42,101,002900,2,0.7283422459893049,0.27165775401069514
"Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",768,137,42,101,003702,3,0.17838541666666666,0.8216145833333334
"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",1910,772,42,101,003702,1,0.4041884816753927,0.5958115183246073
"Block Group 2, Census Tract 37.02, Philadelphia County, Pennsylvania",1267,366,42,101,003702,2,0.2888713496448303,0.7111286503551697
"Block Group 1, Census Tract 266, Philadelphia County, Pennsylvania",875,0,42,101,026600,1,0.0,1.0
"Block Group 1, Census Tract 188, Philadelphia County, Pennsylvania",2073,822,42,101,018800,1,0.39652677279305354,0.6034732272069465
"Block Group 5, Census Tract 188, Philadelphia County, Pennsylvania",481,243,42,101,018800,5,0.5051975051975052,0.49480249480249483
"Block Group 2, Census Tract 347.02, Philadelphia County, Pennsylvania",832,832,42,101,034702,2,1.0,0.0
"Block Group 4, Census Tract 167.02, Philadelphia County, Pennsylvania",775,135,42,101,016702,4,0.17419354838709677,0.8258064516129032
"Block Group 3, Census Tract 167.02, Philadelphia County, Pennsylvania",987,127,42,101,016702,3,0.1286727456940223,0.8713272543059777
